Number,Area,Date,Average,Highest,Lowest,Precipitation,Humidity
90,속초,2018-07-09,17.90 ,20.2,16.4,11.3,90
90,속초,2018-07-10,18.70 ,19.9,17.6,12.3,97
90,속초,2018-07-11,19.00 ,19.6,18.5,23.2,98
90,속초,2018-07-12,26.20 ,34,18.9,,78
90,속초,2018-07-13,28.30 ,34.6,23.9,,68
90,속초,2018-07-14,27.10 ,31.8,24.1,,72
90,속초,2018-07-15,28.80 ,33.6,25.3,,65
90,속초,2018-07-16,28.40 ,32.9,24.9,,67
100,대관령,2018-07-09,13.90 ,14.9,12.7,18.2,100
100,대관령,2018-07-10,19.60 ,23.4,14.3,4.1,93
100,대관령,2018-07-11,21.40 ,24.4,19,7.1,96
100,대관령,2018-07-12,23.10 ,26,21.6,,83
100,대관령,2018-07-13,23.20 ,26.8,21.3,,78
100,대관령,2018-07-14,24.00 ,28.6,21.2,,73
100,대관령,2018-07-15,24.20 ,28.9,19.8,,75
100,대관령,2018-07-16,24.30 ,29.2,19,,73
101,춘천,2018-07-09,19.60 ,20.4,18.7,10.5,89
101,춘천,2018-07-10,22.00 ,24.8,18.9,17.3,95
101,춘천,2018-07-11,25.20 ,27.7,22.6,31.6,97
101,춘천,2018-07-12,26.60 ,30.7,23.6,0,87
101,춘천,2018-07-13,26.90 ,32.1,22.4,,82
101,춘천,2018-07-14,27.50 ,32.9,22.7,,78
101,춘천,2018-07-15,27.80 ,33.5,22.4,,78
101,춘천,2018-07-16,27.80 ,34,22.6,,79
105,강릉,2018-07-09,18.00 ,19,16.8,17.5,89
105,강릉,2018-07-10,19.30 ,20.6,17.9,4.5,92
105,강릉,2018-07-11,20.10 ,22.7,19,12,95
105,강릉,2018-07-12,28.00 ,33.2,19.7,,69
105,강릉,2018-07-13,30.70 ,34.5,27.9,,56
105,강릉,2018-07-14,31.40 ,35.7,28.8,,53
105,강릉,2018-07-15,31.80 ,36,28,,52
105,강릉,2018-07-16,31.80 ,37.2,27.5,,51
108,서울,2018-07-09,20.80 ,24.2,20.1,14,82
108,서울,2018-07-10,23.70 ,26.5,20.4,16.5,88
108,서울,2018-07-11,26.80 ,29.5,24.4,3,83
108,서울,2018-07-12,26.60 ,28.2,25.1,1,82
108,서울,2018-07-13,27.30 ,30.9,24.7,,75
108,서울,2018-07-14,27.90 ,31.9,24.6,0,70
108,서울,2018-07-15,28.30 ,33.2,24.5,,70
108,서울,2018-07-16,28.70 ,34,24,,64
112,인천,2018-07-09,21.30 ,23.6,20.3,22.9,88
112,인천,2018-07-10,24.10 ,26.7,20.5,8.8,89
112,인천,2018-07-11,26.10 ,28.4,24.6,5,86
112,인천,2018-07-12,25.60 ,27.4,24.1,0,91
112,인천,2018-07-13,25.90 ,29,23.8,,87
112,인천,2018-07-14,26.20 ,29.2,23.5,0,84
112,인천,2018-07-15,26.50 ,30.8,24.1,0,82
112,인천,2018-07-16,26.20 ,30.9,22.3,,79
114,원주,2018-07-09,20.60 ,22.4,20,10.6,81
114,원주,2018-07-10,24.20 ,28.4,19.8,1.4,79
114,원주,2018-07-11,26.00 ,29.6,23.4,4.6,83
114,원주,2018-07-12,27.20 ,30.9,24,,75
114,원주,2018-07-13,27.10 ,31.1,24.5,,70
114,원주,2018-07-14,27.50 ,31.5,24.5,,67
114,원주,2018-07-15,28.00 ,32.5,23.8,,64
114,원주,2018-07-16,28.30 ,33.4,23.5,,63
119,수원,2018-07-09,21.10 ,23.6,20.3,11.5,91
119,수원,2018-07-10,24.70 ,27.9,20.5,2.9,89
119,수원,2018-07-11,27.20 ,30.9,24.2,4.2,85
119,수원,2018-07-12,27.40 ,31.1,25,0,84
